Date,Open,High,Low,Close,Adj Close,Volume
2014-01-09,1831.800049,1833.099976,1826.530029,1828.209961,1828.209961,107762900
2014-01-10,1826.189941,1827.949951,1822.250000,1826.609985,1826.609985,114671400
2014-01-13,1825.420044,1837.349976,1823.160034,1834.969971,1834.969971,83731700
2014-01-15,1834.739990,1836.469971,1818.989990,1824.030029,1824.030029,154595600
2014-01-16,1824.599976,1831.329956,1811.180054,1813.010010,1813.010010,188760700
2014-01-20,1808.250000,1809.800049,1801.310059,1807.589966,1807.589966,139544600
2014-01-21,1807.449951,1816.939941,1806.250000,1815.339966,1815.339966,132058900
2014-01-22,1816.569946,1816.569946,1803.430054,1814.099976,1814.099976,169743400
2014-01-23,1815.270020,1816.060059,1806.729980,1808.310059,1808.310059,177386100
2014-01-24,1802.290039,1806.439941,1798.569946,1802.569946,1802.569946,163902800
2014-01-27,1794.160034,1794.160034,1777.619995,1778.880005,1778.880005,221453700
2014-01-28,1784.099976,1788.290039,1780.829956,1781.250000,1781.250000,153111900
2014-01-29,1780.729980,1794.130005,1780.209961,1789.229980,1789.229980,125884500
2014-01-30,1788.780029,1804.030029,1780.099976,1804.030029,1804.030029,120999200
2014-02-03,null,null,null,null,null,null
2014-02-04,1795.890015,1795.890015,1769.800049,1778.829956,1778.829956,168483400
2014-02-05,1784.839966,1786.579956,1782.819946,1785.880005,1785.880005,112702200
2014-02-06,1784.920044,1799.449951,1783.680054,1797.900024,1797.900024,155548400
2014-02-07,1798.709961,1812.180054,1797.839966,1808.589966,1808.589966,159831300
2014-02-10,1812.979980,1819.989990,1812.290039,1816.140015,1816.140015,118516100
2014-02-11,1815.880005,1824.199951,1815.569946,1824.170044,1824.170044,137574000
2014-02-12,1821.959961,1826.729980,1821.750000,1825.640015,1825.640015,122838800
2014-02-13,1827.209961,1828.719971,1816.219971,1817.150024,1817.150024,103558900
2014-02-14,1816.510010,1820.380005,1813.900024,1819.369995,1819.369995,95875200
2014-02-17,1819.689941,1833.390015,1819.689941,1827.479980,1827.479980,116333000
2014-02-18,1827.760010,1828.229980,1822.680054,1825.239990,1825.239990,100196000
2014-02-19,1821.270020,1829.449951,1820.589966,1829.449951,1829.449951,129464700
2014-02-20,1830.180054,1830.180054,1822.790039,1827.810059,1827.810059,154155600
2014-02-21,1826.439941,1831.319946,1826.439941,1830.739990,1830.739990,127296600
2014-02-24,1831.439941,1833.800049,1826.530029,1828.680054,1828.680054,86125600
2014-02-25,1829.979980,1833.790039,1827.260010,1833.750000,1833.750000,104626300
2014-02-26,1830.209961,1831.270020,1822.550049,1822.550049,1822.550049,145921200
2014-02-27,1823.510010,1831.660034,1823.510010,1831.660034,1831.660034,121768700
2014-02-28,1826.189941,1836.140015,1825.819946,1835.660034,1835.660034,180935100
