Date,Open,High,Low,Close
20-Nov-13,"1,414.97","1,420.93","1,401.50","1,404.81"
19-Nov-13,"1,421.74","1,422.18","1,409.20","1,412.44"
18-Nov-13,"1,429.37","1,430.37","1,422.39","1,423.96"
15-Nov-13,"1,425.11","1,427.69","1,414.30","1,420.66"
14-Nov-13,"1,411.62","1,421.82","1,410.91","1,415.69"
13-Nov-13,"1,404.64","1,414.04","1,403.07","1,404.77"
12-Nov-13,"1,416.67","1,422.06","1,410.18","1,413.08"
11-Nov-13,"1,383.75","1,408.53","1,379.79","1,405.91"
8-Nov-13,"1,415.30","1,415.75","1,397.99","1,405.03"
7-Nov-13,"1,432.47","1,438.86","1,420.01","1,425.23"
6-Nov-13,"1,418.74","1,436.30","1,409.96","1,434.97"
5-Nov-13,"1,394.81","1,417.91","1,394.33","1,415.44"
4-Nov-13,"1,412.27","1,412.68","1,387.79","1,388.40"
1-Nov-13,"1,429.81","1,431.99","1,421.39","1,429.08"
31-Oct-13,"1,422.43","1,442.88","1,418.87","1,442.88"
30-Oct-13,"1,456.43","1,457.06","1,428.32","1,431.12"
29-Oct-13,"1,448.74","1,456.77","1,446.59","1,455.86"
28-Oct-13,"1,458.99","1,463.02","1,445.07","1,449.62"
25-Oct-13,"1,464.49","1,464.82","1,452.69","1,454.88"
24-Oct-13,"1,446.87","1,466.36","1,445.05","1,466.32"
22-Oct-13,"1,447.24","1,457.49","1,438.64","1,457.36"
21-Oct-13,"1,484.87","1,485.67","1,446.40","1,448.54"
18-Oct-13,"1,476.82","1,485.21","1,471.65","1,484.72"
17-Oct-13,"1,470.90","1,480.65","1,463.01","1,469.09"
16-Oct-13,"1,471.06","1,478.22","1,464.38","1,464.38"
15-Oct-13,"1,469.35","1,476.43","1,466.20","1,472.90"
14-Oct-13,"1,450.55","1,461.42","1,443.20","1,459.84"
11-Oct-13,"1,468.83","1,469.59","1,453.60","1,457.78"
10-Oct-13,"1,437.81","1,456.11","1,436.57","1,451.91"
9-Oct-13,"1,436.16","1,437.00","1,427.45","1,434.66"
8-Oct-13,"1,414.69","1,437.87","1,411.11","1,434.06"
7-Oct-13,"1,425.37","1,432.73","1,414.27","1,414.62"
4-Oct-13,"1,423.46","1,430.80","1,418.51","1,427.72"
3-Oct-13,"1,418.26","1,432.45","1,417.72","1,429.18"
2-Oct-13,"1,410.53","1,416.20","1,401.64","1,408.99"
1-Oct-13,"1,389.17","1,410.98","1,381.88","1,408.19"
30-Sep-13,"1,398.77","1,399.27","1,381.26","1,383.16"
27-Sep-13,"1,433.14","1,435.88","1,413.51","1,417.49"
26-Sep-13,"1,425.20","1,440.53","1,424.28","1,424.76"
25-Sep-13,"1,421.06","1,436.90","1,413.63","1,436.90"
24-Sep-13,"1,430.54","1,441.73","1,416.43","1,417.77"
23-Sep-13,"1,473.11","1,473.67","1,433.14","1,436.68"
20-Sep-13,"1,483.70","1,487.91","1,473.52","1,486.76"
19-Sep-13,"1,486.87","1,494.27","1,479.25","1,489.06"
18-Sep-13,"1,443.80","1,451.77","1,431.87","1,439.13"
17-Sep-13,"1,444.05","1,450.45","1,435.91","1,443.78"
16-Sep-13,"1,429.89","1,445.18","1,428.87","1,445.11"
